song_name,kpop_artist_name,song_id,artist_id,artist_1,artist_id_1,artist_2,artist_id_2,artist_3,artist_id_3,artist_4,artist_id_4,artist_5,artist_id_5,artist_6,artist_id_6,artist_7,artist_id_7,artist_8,artist_id_8,artist_9,artist_id_9,artist_10,artist_id_10,artist_11,artist_id_11,artist_12,artist_id_12,artist_13,artist_id_13
Waste It On Me (feat. BTS),BTS,2r1T6xGTVaNAqBoPH4lZEE,3Nrfpe0tUJi4K4DXYWgMUX,Steve Aoki,77AiFEVeAVj2ORpC85QVJs, BTS,3Nrfpe0tUJi4K4DXYWgMUX,,,,,,,,,,,,,,,,,,,,,,
MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,6XxpvCj3eLWs3lYowSgC4G,3Nrfpe0tUJi4K4DXYWgMUX, Desiigner,7pFeBzX627ff0VnN6bxPR4, Steve Aoki,77AiFEVeAVj2ORpC85QVJs,,,,,,,,,,,,,,,,,,,,,,
Ice Cream (with Selena Gomez),BLACKPINK,2J4P46vCFm1rPkNkp9pZWX,41MozSoPIsD1dJM0CLPjZF, Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,,,,,,,,,,,,,,,,,,,,,,,,
Sour Candy (with BLACKPINK),BLACKPINK,6R6ZoHTypt5lt68MWbzZXv,41MozSoPIsD1dJM0CLPjZF,Lady Gaga,1HY2Jd0NmPuamShAr6KMms, BLACKPINK,41MozSoPIsD1dJM0CLPjZF,,,,,,,,,,,,,,,,,,,,,,
Kiss And Make Up,BLACKPINK,7v57jXggtZOJEjEcgfhxte,41MozSoPIsD1dJM0CLPjZF,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we, BLACKPINK,41MozSoPIsD1dJM0CLPjZF,,,,,,,,,,,,,,,,,,,,,,
SET ME FREE - Lindgren Remix - ENG,TWICE,2X5l0GDmQfO0RDX1RQQy09,7n2Ycct7Beij7Dj7meI4X0, Lindgren,0vk7Ds4u6waswHkzrfACVg,,,,,,,,,,,,,,,,,,,,,,,,
SET ME FREE - Tommy “TBHits” Brown Remix - ENG,TWICE,2GcZLkHnXU2PNjpszpsM7o,7n2Ycct7Beij7Dj7meI4X0, Tommy Brown,0ctSbHMEV1hrOkGvEnciDr,,,,,,,,,,,,,,,,,,,,,,,,
SET ME FREE - ARMNHMR Remix - ENG,TWICE,6PGRYQffjWl712YTS9KQEb,7n2Ycct7Beij7Dj7meI4X0, ARMNHMR,0P2bZXPyjHYRW4guHVAFl1,,,,,,,,,,,,,,,,,,,,,,,,
SET ME FREE (Tommy “TBHits” Brown Remix) (ENG),TWICE,6BhpvHofjQy5ZHSJLUy1V5,7n2Ycct7Beij7Dj7meI4X0, Tommy “TBHits” Brown,06moEoVtCKweJmGYid8vU7,,,,,,,,,,,,,,,,,,,,,,,,
The Feels (Benny Benassi Remix),TWICE,7sYvWe2EeL3J0gOYWb0hIr,7n2Ycct7Beij7Dj7meI4X0, Benny Benassi,4Ws2otunReOa6BbwxxpCt6,,,,,,,,,,,,,,,,,,,,,,,,
The Feels - The Stereotypes Remix,TWICE,2nJRHCM6DnHTxxKzJqPXZT,7n2Ycct7Beij7Dj7meI4X0, The Stereotypes,5fR4xhDybxRY7SwyUwQy34,,,,,,,,,,,,,,,,,,,,,,,,
The Feels - YVES V Remix,TWICE,1RXQmD2tJREqzKkBGPmSZi,7n2Ycct7Beij7Dj7meI4X0, Yves V,47BEc2RoW53owMyxacXWdV,,,,,,,,,,,,,,,,,,,,,,,,
Fanfare - Lee Hae Sol Remix,TWICE,21LS7O1Vi5edoa97SXYzFL,7n2Ycct7Beij7Dj7meI4X0, LEE HAE SOL,5xZzq9Bk8IociNfF0TfHdf,,,,,,,,,,,,,,,,,,,,,,,,
Breakthrough - taalthechoi Remix,TWICE,2qM9XN5Wm4qqfjdfTGEK0Y,7n2Ycct7Beij7Dj7meI4X0, taalthechoi,0Wz3NC2nQgeV1titlYTj4C,,,,,,,,,,,,,,,,,,,,,,,,
Going Dumb (with Stray Kids) (feat. CORSAK) - Mike Williams Remix,Stray Kids,4cMWKuzh0HUHgtSpxkP3OH,2dIgFjalVxs4ThymZ67YCE,Alesso,4AVFqumd2ogHFlRbKIjp1t, Stray Kids,2dIgFjalVxs4ThymZ67YCE, Mike Williams,3IpvVrP3VLhruTmnququq7, CORSAK,1TcbdifqhtxLz77unBYJ7z,,,,,,,,,,,,,,,,,,
Going Dumb,Stray Kids,7arsXR8AtExnOFN3v3HiJI,2dIgFjalVxs4ThymZ67YCE,Alesso,4AVFqumd2ogHFlRbKIjp1t, CORSAK,1TcbdifqhtxLz77unBYJ7z,,,,,,,,,,,,,,,,,,,,,,
Going Dumb (with Stray Kids),Stray Kids,3Ea1CNsTqBY4RtAESrBeNI,2dIgFjalVxs4ThymZ67YCE,Alesso,4AVFqumd2ogHFlRbKIjp1t, Stray Kids,2dIgFjalVxs4ThymZ67YCE, CORSAK,1TcbdifqhtxLz77unBYJ7z,,,,,,,,,,,,,,,,,,,,
BETTING,SEVENTEEN,2D4FPjRVAWPGZUnO3Qzz8d,7nqOGRxlXj7N2JYbgNEjYH,香取慎吾,23aPUZaR8bESXN4UD3T2Sx, SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,,,,,,,,,,,,,,,,,,,,,,
_WORLD,SEVENTEEN,2kDrUAONMhG6CbDGBkhdrY,7nqOGRxlXj7N2JYbgNEjYH, Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,,,,,,,,,,,,,,,,,,,,,,,,
17 (feat. Joshua and DK of SEVENTEEN),SEVENTEEN,5SifNhmUO8iSEoWFQU8kxH,7nqOGRxlXj7N2JYbgNEjYH,Pink Sweat$,1W7FNibLa0O0b572tB2w7t, SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,,,,,,,,,,,,,,,,,,,,,,
2016 월간 윤종신 2월호 - Chocolate,SEVENTEEN,6MuMUDjfgftMIz8Q3ruF22,7nqOGRxlXj7N2JYbgNEjYH,Yoon Jong Shin,0hW1muryuCdZLfjoLrUhnw, SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,,,,,,,,,,,,,,,,,,,,,,
Q&A,SEVENTEEN,1pHCzbRvRFg59Kvc7WHckN,7nqOGRxlXj7N2JYbgNEjYH, AILEE,3uGFTJ7JMllvhgGpumieHF,,,,,,,,,,,,,,,,,,,,,,,,
Happy Fools (feat. Coi Leray),TOMORROW X TOGETHER,77LZvE2XLYn2AW55UxIG8H,0ghlgldX5Dd6720Q3qFyQB, Coi Leray,6AMd49uBDJfhf30Ak2QR5s,,,,,,,,,,,,,,,,,,,,,,,,
Valley of Lies,TOMORROW X TOGETHER,3Bgl1xMI00capuTqUHBNUW,0ghlgldX5Dd6720Q3qFyQB, iann dior,6ASri4ePR7RlsvIQgWPJpS,,,,,,,,,,,,,,,,,,,,,,,,
PS5 (with TOMORROW X TOGETHER & Alan Walker),TOMORROW X TOGETHER,7xNCacksfUkYXsXuSW4vNF,0ghlgldX5Dd6720Q3qFyQB,salem ilese,3QJUFtGBGL05vo0kCJZsmT, TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB, Alan Walker,7vk5e3vY1uw9plTHJAMwjN,,,,,,,,,,,,,,,,,,,,
0X1=LOVESONG (I Know I Love You) - Japanese Ver.,TOMORROW X TOGETHER,4yRVrTMD8zLyaCVcirIAdu,0ghlgldX5Dd6720Q3qFyQB, Lilas Ikuta,1qM11R4ylJyQiPJ0DffE9z,,,,,,,,,,,,,,,,,,,,,,,,
0X1=LOVESONG (I Know I Love You) feat. MOD SUN,TOMORROW X TOGETHER,2BS6hEI43E8Rx1vDwG7B2N,0ghlgldX5Dd6720Q3qFyQB, MOD SUN,3u2R8st1bb6zfBqNWceRXG,,,,,,,,,,,,,,,,,,,,,,,,
Break My Heart Myself (feat. YEJI & RYUJIN of ITZY),ITZY,5Av4jZOAbtY8STz7KPsNDB,2KC9Qb60EaY0kW4eH68vr3,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb, ITZY,2KC9Qb60EaY0kW4eH68vr3, YEJI & RYUJIN of ITZY,4TYswX6bKUjM9rbEL7CMBH,,,,,,,,,,,,,,,,,,,,
Break Ice,ITZY,4iEeJKOE5zjsRbWBGkj9lS,2KC9Qb60EaY0kW4eH68vr3,Second Aunt KimDaVi,2XrCYhwuq6x15QFddD1gQv, ITZY,2KC9Qb60EaY0kW4eH68vr3,,,,,,,,,,,,,,,,,,,,,,
DALLA DALLA - DallasK Remix,ITZY,0A7P017J36XLJVRQttwB6D,2KC9Qb60EaY0kW4eH68vr3, DallasK,7uas0F5EhsZg6KDJ7yy7rW,,,,,,,,,,,,,,,,,,,,,,,,
WANT IT? - Imad Royal Remix,ITZY,6gKMjDnPVYsNpV06qFkfh1,2KC9Qb60EaY0kW4eH68vr3, Imad Royal,6OgklJh1e1Z9S1Q2IQsHgy,,,,,,,,,,,,,,,,,,,,,,,,
Left and Right (feat. Jung Kook of BTS) - Galantis Remix,Jung Kook,7twpmDySuCWpASRjWVEdnJ,6HaGTQPmzraVmaVxvz6EUc,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7, Jung Kook,6HaGTQPmzraVmaVxvz6EUc, Galantis,4sTQVOfp9vEMCemLw50sbu,,,,,,,,,,,,,,,,,,,,
