name,id,top_kpop,genre,followers
 DALsooobin,0ZjVwJw2cFymrcIwmGuVEl,0,['korean electropop'],14368
j-hope,0b1sIQumIAsNbqAoIClSpy,1,"['k-pop', 'k-rap']",14644327
End of the World,0b59cVa1STVENq3i7wkcHV,0,[],52195
 347aidan,0bBz5bRBkExaej2HxtVfCw,0,['sad rap'],421360
 DJ Juice,0bJKaJ5AdUz5nDFDRGfKPJ,0,[],891
YOON DU JUN,0bjyZMw6TzPhXSp2PoKXx7,0,[],9922
 초신성,0buWcDodnGf3u36oAQPHzW,0,[],161
 MBA,0c6EF9zv5mQX7pkyrPawKS,0,"['k-rap', 'korean trap']",6799
 Tommy Brown,0ctSbHMEV1hrOkGvEnciDr,0,[],214
 Mad Clown,0dX6tgZKWpamoFHFuXFhwd,0,"['k-pop', 'k-rap', 'korean pop']",119695
 Valentino Khan,0deIjoDjl9g9Zpw0sCIOHh,0,"['brostep', 'edm', 'electro house', 'electronic trap', 'moombahton']",230194
 Rahmania Astrini,0e5blBgpur3Y18wS1bzXQC,0,"['indonesian pop', 'indonesian r&b', 'indonesian singer-songwriter']",177496
 ONF,0eEhOgZ2x6kv8kLz77WO7b,0,"['k-pop', 'k-pop boy group']",609743
 SUGA,0ebNdVaOfp6N0oZ1guIxM8,0,['k-pop'],2333423
 CHROMANCE,0fEj1fYIQwWj1bzzAto9rp,0,['modern indie pop'],33229
 G.Soul,0fLesFHNsJpalRtqzSYxnd,0,[],358
 Yiruma,0fauHpmSHwodVYIjTqOGHz,0,"['korean instrumental', 'neo-classical', 'new age piano']",1030635
 RYEOWOOK,0fwfMuz3AmWRy2pyM5fDRo,0,"['k-pop', 'korean pop']",204424
Spott,0gQWoLdyMfjBGGITOMhTh8,0,[],430
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,1,"['k-pop', 'k-pop boy group']",7966311
$tupid Young,0h0C8mMT21p0Ixq6qO1UMH,0,"['asian american hip hop', 'cali rap']",121523
 Kwon Jeong Yeol,0hQlsGzFtLvitALhayW7HD,0,[],260
 Gummy,0hRHbwZ0xSwfVHl4FTv7jq,1,"['k-pop', 'korean pop']",306410
Yoon Jong Shin,0hW1muryuCdZLfjoLrUhnw,0,['korean pop'],57128
KOLAJ,0hhL0iOf9ebHlwxWQyeH2w,0,['indie poptimism'],7398
 KYUHYUN,0il5ZP3xYOECtONJtZ38Ln,0,['k-pop'],374400
 Rothy,0jUn8CXobOt0IixyR72una,0,['korean pop'],190034
 Black Belt,0jiiP0IU9wLNybrIucmB6T,0,[],232
 dj friz,0js3wKXyi7RL11sfOykRt1,0,['k-pop'],2520
PARK WOO JIN,0kS1oLtVdBidgH2aKloRKR,0,['k-pop'],131048
 eaJ,0kX41bvrBQtgqSEXbmTzMN,0,['game mood'],135414
 HavyT,0n0aXN4cGCEJnKuOhYsYUB,0,[],4
 OG Maco,0nvvVQhPQGkYTJlThLbJeu,0,['atl hip hop'],147714
Mozart La Para,0odliLZMTk45CEVzF3Zocl,0,"['dembow', 'rap dominicano']",406458
 TAEHYUN,0ojbIKPNnbwRqKpAJxcIaP,0,[],18384
 Takanori Nishikawa T.M.Revolution,0pPQ5V1o6LrB7wdt9yzUkM,0,[],626
 Ji Dam Yook,0q5mCOaqzgDnmthha6f4W7,0,[],129
 Ahn Ye Eun,0qQQYIK5Sxnzt72fGyTcvs,0,"['joseon pop', 'korean singer-songwriter']",48030
 Dok2,0rW6fVd3yuW2CF2sLYWQtE,0,"['k-rap', 'korean old school hip hop']",121208
JONG UP (B.A.P),0sSAFVekiDtX7PXDQvHnlK,0,[],5853
 JOY,0sYpJ0nCC8AlDrZFeAA7ub,0,['k-pop'],695104
 DPR LIVE,0siBQaURCli5wn2lqv8WZg,1,['korean r&b'],935289
 YUMDDA,0su5mZ6qhvOUhz7ckEx8rR,0,['k-rap'],49124
 PARK JI HOON,0tBYMeHDDJCzRuREuCTWi7,0,['k-pop'],318820
 젓가락형제,0tCF3alKq0KqzEn0iaEqIP,0,[],27
 Jaira Burns,0tRFWXqKBBQcu5oFVOgVzX,0,['alt z'],433911
 Gaeko,0tkHE1pQ5ZCgQb8WZ0ba79,0,"['k-rap', 'korean r&b']",121350
 CL,0tzSBCPJZmHTdOA3ZV2mN3,1,['k-pop'],1122400
 Chancellor,0u06YeydlBk3awnk5KgdBx,0,['korean r&b'],37425
 Robin,0vOvj6PPR7vcw2oMCHjW9Z,0,[],2
 Reik,0vR2qb8m9WHeZ5ByCbimq2,0,"['latin arena pop', 'latin pop', 'mexican pop', 'reggaeton']",8246474
