,song_name,song_name_10,kpop_artist_name,all_artists,song_id,song_api_info,artist_id,all_artists_id,all_artists_list,all_artists_id_list,artist_1,artist_id_1,artist_2,artist_id_2,artist_3,artist_id_3,artist_4,artist_id_4,artist_5,artist_id_5,artist_6,artist_id_6,artist_7,artist_id_7,artist_8,artist_id_8,artist_9,artist_id_9,artist_10,artist_id_10,artist_11,artist_id_11,artist_12,artist_id_12,artist_13,artist_id_13
2633,GANADARA (Feat. IU),GANADARA (,Jay Park,"Jay Park, IU",5quFr5s5PXYfUX5jV2EBZ1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3HqSLMAZ3g3d5poNaI7GOU'}, 'href': 'https://api.spotify.com/v1/artists/3HqSLMAZ3g3d5poNaI7GOU', 'id': '3HqSLMAZ3g3d5poNaI7GOU', 'name': 'IU', 'type': 'artist', 'uri': 'spotify:artist:3HqSLMAZ3g3d5poNaI7GOU'}]",4XDi67ZENZcbfKnvMnTYsI,"4XDi67ZENZcbfKnvMnTYsI, 3HqSLMAZ3g3d5poNaI7GOU",[' IU'],[' 3HqSLMAZ3g3d5poNaI7GOU'], IU, 3HqSLMAZ3g3d5poNaI7GOU,,,,,,,,,,,,,,,,,,,,,,,,
2635,Break Your Heart,Break Your,Jay Park,"Jay Park, Wiz Khalifa",4enjLcfskFHD0MGz7MbnqL,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/137W8MRPWKqSmrBGDBFSop'}, 'href': 'https://api.spotify.com/v1/artists/137W8MRPWKqSmrBGDBFSop', 'id': '137W8MRPWKqSmrBGDBFSop', 'name': 'Wiz Khalifa', 'type': 'artist', 'uri': 'spotify:artist:137W8MRPWKqSmrBGDBFSop'}]",4XDi67ZENZcbfKnvMnTYsI,"4XDi67ZENZcbfKnvMnTYsI, 137W8MRPWKqSmrBGDBFSop",[' Wiz Khalifa'],[' 137W8MRPWKqSmrBGDBFSop'], Wiz Khalifa, 137W8MRPWKqSmrBGDBFSop,,,,,,,,,,,,,,,,,,,,,,,,
2636,ALL IN (Prod. GroovyRoom),ALL IN (Pr,Jay Park,"Jay Park, pH-1, GroovyRoom",586VUZmfGAEjeHkIPHwy3p,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2u7CP5T30c8ctenzXgEV1W'}, 'href': 'https://api.spotify.com/v1/artists/2u7CP5T30c8ctenzXgEV1W', 'id': '2u7CP5T30c8ctenzXgEV1W', 'name': 'pH-1', 'type': 'artist', 'uri': 'spotify:artist:2u7CP5T30c8ctenzXgEV1W'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/29HqjVbJr3vsc2l6BTI4eB'}, 'href': 'https://api.spotify.com/v1/artists/29HqjVbJr3vsc2l6BTI4eB', 'id': '29HqjVbJr3vsc2l6BTI4eB', 'name': 'GroovyRoom', 'type': 'artist', 'uri': 'spotify:artist:29HqjVbJr3vsc2l6BTI4eB'}]",4XDi67ZENZcbfKnvMnTYsI,"4XDi67ZENZcbfKnvMnTYsI, 2u7CP5T30c8ctenzXgEV1W, 29HqjVbJr3vsc2l6BTI4eB","[' pH-1', ' GroovyRoom']","[' 2u7CP5T30c8ctenzXgEV1W', ' 29HqjVbJr3vsc2l6BTI4eB']", pH-1, 2u7CP5T30c8ctenzXgEV1W, GroovyRoom, 29HqjVbJr3vsc2l6BTI4eB,,,,,,,,,,,,,,,,,,,,,,
2638,Us2,Us2,Jay Park,"YULTRON, Jay Park",0SrTNFuQQcEz3RkBoxX0a0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3n2H1XlCyS1WQ0vyVUFEma'}, 'href': 'https://api.spotify.com/v1/artists/3n2H1XlCyS1WQ0vyVUFEma', 'id': '3n2H1XlCyS1WQ0vyVUFEma', 'name': 'YULTRON', 'type': 'artist', 'uri': 'spotify:artist:3n2H1XlCyS1WQ0vyVUFEma'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}]",4XDi67ZENZcbfKnvMnTYsI,"3n2H1XlCyS1WQ0vyVUFEma, 4XDi67ZENZcbfKnvMnTYsI","['YULTRON', ' Jay Park']","['3n2H1XlCyS1WQ0vyVUFEma', ' 4XDi67ZENZcbfKnvMnTYsI']",YULTRON,3n2H1XlCyS1WQ0vyVUFEma, Jay Park, 4XDi67ZENZcbfKnvMnTYsI,,,,,,,,,,,,,,,,,,,,,,
2640,Trip,Trip,Jay Park,"GEMINI, Jay Park",2W4YKFHDaMdQkpXzDjbTER,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/67IWlRdLy3UcfY3q968euj'}, 'href': 'https://api.spotify.com/v1/artists/67IWlRdLy3UcfY3q968euj', 'id': '67IWlRdLy3UcfY3q968euj', 'name': 'GEMINI', 'type': 'artist', 'uri': 'spotify:artist:67IWlRdLy3UcfY3q968euj'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}]",4XDi67ZENZcbfKnvMnTYsI,"67IWlRdLy3UcfY3q968euj, 4XDi67ZENZcbfKnvMnTYsI","['GEMINI', ' Jay Park']","['67IWlRdLy3UcfY3q968euj', ' 4XDi67ZENZcbfKnvMnTYsI']",GEMINI,67IWlRdLy3UcfY3q968euj, Jay Park, 4XDi67ZENZcbfKnvMnTYsI,,,,,,,,,,,,,,,,,,,,,,
2641,Fake (Prod. GroovyRoom),Fake (Prod,Jay Park,"GEMINI, Paul Blanco",2knuCtWKiQB6tJaXzzNdVO,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/67IWlRdLy3UcfY3q968euj'}, 'href': 'https://api.spotify.com/v1/artists/67IWlRdLy3UcfY3q968euj', 'id': '67IWlRdLy3UcfY3q968euj', 'name': 'GEMINI', 'type': 'artist', 'uri': 'spotify:artist:67IWlRdLy3UcfY3q968euj'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2fiGm496AG7ePURQiSSJIw'}, 'href': 'https://api.spotify.com/v1/artists/2fiGm496AG7ePURQiSSJIw', 'id': '2fiGm496AG7ePURQiSSJIw', 'name': 'Paul Blanco', 'type': 'artist', 'uri': 'spotify:artist:2fiGm496AG7ePURQiSSJIw'}]",4XDi67ZENZcbfKnvMnTYsI,"67IWlRdLy3UcfY3q968euj, 2fiGm496AG7ePURQiSSJIw","['GEMINI', ' Paul Blanco']","['67IWlRdLy3UcfY3q968euj', ' 2fiGm496AG7ePURQiSSJIw']",GEMINI,67IWlRdLy3UcfY3q968euj, Paul Blanco, 2fiGm496AG7ePURQiSSJIw,,,,,,,,,,,,,,,,,,,,,,
2642,uRight (feat. Jay Park),uRight (fe,Jay Park,"ShiGGa Shay, Jay Park",3V0nbJHM1MqwOA71N9p2kM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3vYlOrtxEjNzvUPhacOdoV'}, 'href': 'https://api.spotify.com/v1/artists/3vYlOrtxEjNzvUPhacOdoV', 'id': '3vYlOrtxEjNzvUPhacOdoV', 'name': 'ShiGGa Shay', 'type': 'artist', 'uri': 'spotify:artist:3vYlOrtxEjNzvUPhacOdoV'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}]",4XDi67ZENZcbfKnvMnTYsI,"3vYlOrtxEjNzvUPhacOdoV, 4XDi67ZENZcbfKnvMnTYsI","['ShiGGa Shay', ' Jay Park']","['3vYlOrtxEjNzvUPhacOdoV', ' 4XDi67ZENZcbfKnvMnTYsI']",ShiGGa Shay,3vYlOrtxEjNzvUPhacOdoV, Jay Park, 4XDi67ZENZcbfKnvMnTYsI,,,,,,,,,,,,,,,,,,,,,,
2643,Batmobile,Batmobile,Jay Park,"DJ Wegun, Jay Park",1Z1mov4NMEqa240rF9yr1s,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7p552gLGzaDKXB5sETgTEP'}, 'href': 'https://api.spotify.com/v1/artists/7p552gLGzaDKXB5sETgTEP', 'id': '7p552gLGzaDKXB5sETgTEP', 'name': 'DJ Wegun', 'type': 'artist', 'uri': 'spotify:artist:7p552gLGzaDKXB5sETgTEP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}]",4XDi67ZENZcbfKnvMnTYsI,"7p552gLGzaDKXB5sETgTEP, 4XDi67ZENZcbfKnvMnTYsI","['DJ Wegun', ' Jay Park']","['7p552gLGzaDKXB5sETgTEP', ' 4XDi67ZENZcbfKnvMnTYsI']",DJ Wegun,7p552gLGzaDKXB5sETgTEP, Jay Park, 4XDi67ZENZcbfKnvMnTYsI,,,,,,,,,,,,,,,,,,,,,,
2644,Deep Sea DRIP,Deep Sea D,Jay Park,"DJ Wegun, Jay Park",1EayMTMyCtRRwZN1KAUPmW,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7p552gLGzaDKXB5sETgTEP'}, 'href': 'https://api.spotify.com/v1/artists/7p552gLGzaDKXB5sETgTEP', 'id': '7p552gLGzaDKXB5sETgTEP', 'name': 'DJ Wegun', 'type': 'artist', 'uri': 'spotify:artist:7p552gLGzaDKXB5sETgTEP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}]",4XDi67ZENZcbfKnvMnTYsI,"7p552gLGzaDKXB5sETgTEP, 4XDi67ZENZcbfKnvMnTYsI","['DJ Wegun', ' Jay Park']","['7p552gLGzaDKXB5sETgTEP', ' 4XDi67ZENZcbfKnvMnTYsI']",DJ Wegun,7p552gLGzaDKXB5sETgTEP, Jay Park, 4XDi67ZENZcbfKnvMnTYsI,,,,,,,,,,,,,,,,,,,,,,
2645,Wegun Is My DJ,Wegun Is M,Jay Park,"DJ Wegun, Jay Park",51UySSlGzD8HLk99x60pdq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7p552gLGzaDKXB5sETgTEP'}, 'href': 'https://api.spotify.com/v1/artists/7p552gLGzaDKXB5sETgTEP', 'id': '7p552gLGzaDKXB5sETgTEP', 'name': 'DJ Wegun', 'type': 'artist', 'uri': 'spotify:artist:7p552gLGzaDKXB5sETgTEP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}]",4XDi67ZENZcbfKnvMnTYsI,"7p552gLGzaDKXB5sETgTEP, 4XDi67ZENZcbfKnvMnTYsI","['DJ Wegun', ' Jay Park']","['7p552gLGzaDKXB5sETgTEP', ' 4XDi67ZENZcbfKnvMnTYsI']",DJ Wegun,7p552gLGzaDKXB5sETgTEP, Jay Park, 4XDi67ZENZcbfKnvMnTYsI,,,,,,,,,,,,,,,,,,,,,,
2646,Nomad,Nomad,Jay Park,"DJ Wegun, Jay Park",1ePCvZmnZKBLaDrYf8r4kQ,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7p552gLGzaDKXB5sETgTEP'}, 'href': 'https://api.spotify.com/v1/artists/7p552gLGzaDKXB5sETgTEP', 'id': '7p552gLGzaDKXB5sETgTEP', 'name': 'DJ Wegun', 'type': 'artist', 'uri': 'spotify:artist:7p552gLGzaDKXB5sETgTEP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}]",4XDi67ZENZcbfKnvMnTYsI,"7p552gLGzaDKXB5sETgTEP, 4XDi67ZENZcbfKnvMnTYsI","['DJ Wegun', ' Jay Park']","['7p552gLGzaDKXB5sETgTEP', ' 4XDi67ZENZcbfKnvMnTYsI']",DJ Wegun,7p552gLGzaDKXB5sETgTEP, Jay Park, 4XDi67ZENZcbfKnvMnTYsI,,,,,,,,,,,,,,,,,,,,,,
2647,Twist The Plot,Twist The ,Jay Park,"DJ Wegun, Jay Park",22AUepm772KRmj5jRoaK4V,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7p552gLGzaDKXB5sETgTEP'}, 'href': 'https://api.spotify.com/v1/artists/7p552gLGzaDKXB5sETgTEP', 'id': '7p552gLGzaDKXB5sETgTEP', 'name': 'DJ Wegun', 'type': 'artist', 'uri': 'spotify:artist:7p552gLGzaDKXB5sETgTEP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}]",4XDi67ZENZcbfKnvMnTYsI,"7p552gLGzaDKXB5sETgTEP, 4XDi67ZENZcbfKnvMnTYsI","['DJ Wegun', ' Jay Park']","['7p552gLGzaDKXB5sETgTEP', ' 4XDi67ZENZcbfKnvMnTYsI']",DJ Wegun,7p552gLGzaDKXB5sETgTEP, Jay Park, 4XDi67ZENZcbfKnvMnTYsI,,,,,,,,,,,,,,,,,,,,,,
2648,Out Of Place,Out Of Pla,Jay Park,"DJ Wegun, Jay Park",0Hfpa8a41cdLKDtDotbFbe,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7p552gLGzaDKXB5sETgTEP'}, 'href': 'https://api.spotify.com/v1/artists/7p552gLGzaDKXB5sETgTEP', 'id': '7p552gLGzaDKXB5sETgTEP', 'name': 'DJ Wegun', 'type': 'artist', 'uri': 'spotify:artist:7p552gLGzaDKXB5sETgTEP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}]",4XDi67ZENZcbfKnvMnTYsI,"7p552gLGzaDKXB5sETgTEP, 4XDi67ZENZcbfKnvMnTYsI","['DJ Wegun', ' Jay Park']","['7p552gLGzaDKXB5sETgTEP', ' 4XDi67ZENZcbfKnvMnTYsI']",DJ Wegun,7p552gLGzaDKXB5sETgTEP, Jay Park, 4XDi67ZENZcbfKnvMnTYsI,,,,,,,,,,,,,,,,,,,,,,
2649,Dior Socks,Dior Socks,Jay Park,"Jay Loud, Jay Park",7qVIWLqMGF2XFNXW1kXXuy,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2zlYZjumfIxajIKfk41H9A'}, 'href': 'https://api.spotify.com/v1/artists/2zlYZjumfIxajIKfk41H9A', 'id': '2zlYZjumfIxajIKfk41H9A', 'name': 'Jay Loud', 'type': 'artist', 'uri': 'spotify:artist:2zlYZjumfIxajIKfk41H9A'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}]",4XDi67ZENZcbfKnvMnTYsI,"2zlYZjumfIxajIKfk41H9A, 4XDi67ZENZcbfKnvMnTYsI","['Jay Loud', ' Jay Park']","['2zlYZjumfIxajIKfk41H9A', ' 4XDi67ZENZcbfKnvMnTYsI']",Jay Loud,2zlYZjumfIxajIKfk41H9A, Jay Park, 4XDi67ZENZcbfKnvMnTYsI,,,,,,,,,,,,,,,,,,,,,,
2652,All for you (Feat. KIRIN),All for yo,Jay Park,"Jay Park, Kirin",2VO8V0IXfRrtDDx1gQIYOw,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3dFiM806dnbA7YUIgOHDBc'}, 'href': 'https://api.spotify.com/v1/artists/3dFiM806dnbA7YUIgOHDBc', 'id': '3dFiM806dnbA7YUIgOHDBc', 'name': 'Kirin', 'type': 'artist', 'uri': 'spotify:artist:3dFiM806dnbA7YUIgOHDBc'}]",4XDi67ZENZcbfKnvMnTYsI,"4XDi67ZENZcbfKnvMnTYsI, 3dFiM806dnbA7YUIgOHDBc",[' Kirin'],[' 3dFiM806dnbA7YUIgOHDBc'], Kirin, 3dFiM806dnbA7YUIgOHDBc,,,,,,,,,,,,,,,,,,,,,,,,
2653,Sho Nuff,Sho Nuff,Jay Park,"$tupid Young, B.A.R.S, Jay Park",2qzuwfvbMefmMAsSEXYfCy,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0h0C8mMT21p0Ixq6qO1UMH'}, 'href': 'https://api.spotify.com/v1/artists/0h0C8mMT21p0Ixq6qO1UMH', 'id': '0h0C8mMT21p0Ixq6qO1UMH', 'name': '$tupid Young', 'type': 'artist', 'uri': 'spotify:artist:0h0C8mMT21p0Ixq6qO1UMH'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1ahnpDxkjOKgm9VydpzCKr'}, 'href': 'https://api.spotify.com/v1/artists/1ahnpDxkjOKgm9VydpzCKr', 'id': '1ahnpDxkjOKgm9VydpzCKr', 'name': 'B.A.R.S', 'type': 'artist', 'uri': 'spotify:artist:1ahnpDxkjOKgm9VydpzCKr'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}]",4XDi67ZENZcbfKnvMnTYsI,"0h0C8mMT21p0Ixq6qO1UMH, 1ahnpDxkjOKgm9VydpzCKr, 4XDi67ZENZcbfKnvMnTYsI","['$tupid Young', ' B.A.R.S', ' Jay Park']","['0h0C8mMT21p0Ixq6qO1UMH', ' 1ahnpDxkjOKgm9VydpzCKr', ' 4XDi67ZENZcbfKnvMnTYsI']",$tupid Young,0h0C8mMT21p0Ixq6qO1UMH, B.A.R.S, 1ahnpDxkjOKgm9VydpzCKr, Jay Park, 4XDi67ZENZcbfKnvMnTYsI,,,,,,,,,,,,,,,,,,,,
2657,Son Malas,Son Malas,Jay Park,"Mozart La Para, Jay Park",1nBA795YhyTO5992WmhEzW,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0odliLZMTk45CEVzF3Zocl'}, 'href': 'https://api.spotify.com/v1/artists/0odliLZMTk45CEVzF3Zocl', 'id': '0odliLZMTk45CEVzF3Zocl', 'name': 'Mozart La Para', 'type': 'artist', 'uri': 'spotify:artist:0odliLZMTk45CEVzF3Zocl'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}]",4XDi67ZENZcbfKnvMnTYsI,"0odliLZMTk45CEVzF3Zocl, 4XDi67ZENZcbfKnvMnTYsI","['Mozart La Para', ' Jay Park']","['0odliLZMTk45CEVzF3Zocl', ' 4XDi67ZENZcbfKnvMnTYsI']",Mozart La Para,0odliLZMTk45CEVzF3Zocl, Jay Park, 4XDi67ZENZcbfKnvMnTYsI,,,,,,,,,,,,,,,,,,,,,,
2658,20/20,20/20,Jay Park,"Jay Park, Hit-Boy",4FOWc0GwRpua1mTHKC72sf,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6q3p11nP1p80Ey6LrOOSed'}, 'href': 'https://api.spotify.com/v1/artists/6q3p11nP1p80Ey6LrOOSed', 'id': '6q3p11nP1p80Ey6LrOOSed', 'name': 'Hit-Boy', 'type': 'artist', 'uri': 'spotify:artist:6q3p11nP1p80Ey6LrOOSed'}]",4XDi67ZENZcbfKnvMnTYsI,"4XDi67ZENZcbfKnvMnTYsI, 6q3p11nP1p80Ey6LrOOSed",[' Hit-Boy'],[' 6q3p11nP1p80Ey6LrOOSed'], Hit-Boy, 6q3p11nP1p80Ey6LrOOSed,,,,,,,,,,,,,,,,,,,,,,,,
2659,Renaissance Man,Renaissanc,Jay Park,"Jay Park, Hit-Boy",66xP1tdDlyiJxSP3SffC5k,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6q3p11nP1p80Ey6LrOOSed'}, 'href': 'https://api.spotify.com/v1/artists/6q3p11nP1p80Ey6LrOOSed', 'id': '6q3p11nP1p80Ey6LrOOSed', 'name': 'Hit-Boy', 'type': 'artist', 'uri': 'spotify:artist:6q3p11nP1p80Ey6LrOOSed'}]",4XDi67ZENZcbfKnvMnTYsI,"4XDi67ZENZcbfKnvMnTYsI, 6q3p11nP1p80Ey6LrOOSed",[' Hit-Boy'],[' 6q3p11nP1p80Ey6LrOOSed'], Hit-Boy, 6q3p11nP1p80Ey6LrOOSed,,,,,,,,,,,,,,,,,,,,,,,,
2660,K-TOWN,K-TOWN,Jay Park,"Jay Park, Hit-Boy",4z1F9hBvsxIoHX2OREpM6w,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6q3p11nP1p80Ey6LrOOSed'}, 'href': 'https://api.spotify.com/v1/artists/6q3p11nP1p80Ey6LrOOSed', 'id': '6q3p11nP1p80Ey6LrOOSed', 'name': 'Hit-Boy', 'type': 'artist', 'uri': 'spotify:artist:6q3p11nP1p80Ey6LrOOSed'}]",4XDi67ZENZcbfKnvMnTYsI,"4XDi67ZENZcbfKnvMnTYsI, 6q3p11nP1p80Ey6LrOOSed",[' Hit-Boy'],[' 6q3p11nP1p80Ey6LrOOSed'], Hit-Boy, 6q3p11nP1p80Ey6LrOOSed,,,,,,,,,,,,,,,,,,,,,,,,
2661,Fade Away,Fade Away,Jay Park,"Jay Park, Hit-Boy",5CDkXFsN0t2RloFhVqZJ3k,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'name': 'Jay Park', 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6q3p11nP1p80Ey6LrOOSed'}, 'href': 'https://api.spotify.com/v1/artists/6q3p11nP1p80Ey6LrOOSed', 'id': '6q3p11nP1p80Ey6LrOOSed', 'name': 'Hit-Boy', 'type': 'artist', 'uri': 'spotify:artist:6q3p11nP1p80Ey6LrOOSed'}]",4XDi67ZENZcbfKnvMnTYsI,"4XDi67ZENZcbfKnvMnTYsI, 6q3p11nP1p80Ey6LrOOSed",[' Hit-Boy'],[' 6q3p11nP1p80Ey6LrOOSed'], Hit-Boy, 6q3p11nP1p80Ey6LrOOSed,,,,,,,,,,,,,,,,,,,,,,,,
